DATE,POND,GF_L,GF_C,GF_LS,GSF_L,GSF_C,HER_P
2018-Jun-20,1,0,0,0,6.55,41,N
2018-Jun-20,2,0,0,0,7.16,42,Y
2018-Jun-20,3,0,0,0,6.65,4,N
2018-Jun-20,4,2,3,1,6.15,41,N
2018-Jun-20,5,8,1,4,5.6,45,N
2018-Jun-20,6,7.32,10,0,0,10,N
2018-Jun-20,7,0,0,0,6.3,48,N
2018-Jun-20,8,0,0,0,8.01,9,N
2018-Jun-20,9,0,0,0,7.33,15,N
2018-Jun-20,10,6.05,6,3,0,6,N
2018-Jun-21,1,0,0,0,7.32,18,N
2018-Jun-21,2,0,0,0,5.95,62,Y
2018-Jun-21,3,0,0,0,5.61,19,N
2018-Jun-21,4,0,0,0,6.09,16,N
2018-Jun-21,5,0,0,0,5.24,25,N
2018-Jun-21,6,6.65,13,3.5,10.38,18,N
2018-Jun-21,7,0,0,0,6.41,51,N
2018-Jun-21,8,5.15,2,6,5.9,5,N
2018-Jun-21,9,5.5,2,4.5,6.69,26,N
2018-Jun-21,10,5.73,7,3.1,0,7,N
2018-Jun-27,1,9.6,1,2,6.56,27,N
2018-Jun-27,2,0,0,0,5.92,63,Y
2018-Jun-27,3,0,0,0,6.8,4,N
2018-Jun-27,4,0,0,0,6.18,54,N
2018-Jun-27,5,0,0,0,5.31,57,N
2018-Jun-27,6,6.72,5,4.4,9.69,13,N
2018-Jun-27,7,0,0,0,6.24,27,N
2018-Jun-27,8,0,0,0,8.15,9,N
2018-Jun-27,9,8.2,1,3,6.76,36,N
2018-Jun-27,10,0,0,0,8.7,1,N
2018-Jun-29,1,0,0,0,6.6,42,N
2018-Jun-29,2,0,0,0,0,0,Y
2018-Jun-29,3,0,0,0,5.7,2,N
2018-Jun-29,4,0,0,0,5.89,55,N
2018-Jun-29,5,0,0,0,6.11,19,N
2018-Jun-29,6,8.33,3,2.7,7.46,8,N
2018-Jun-29,7,0,0,0,5.91,39,N
2018-Jun-29,8,8,1,6,7.52,12,N
2018-Jun-29,9,0,0,0,8.61,7,N
2018-Jun-29,10,5.1,9,2,0,9,N
2018-Jul-3,1,10,1,4,6.56,58,N
2018-Jul-3,2,0,0,0,6.55,44,Y
2018-Jul-3,3,0,0,0,6,10,N
2018-Jul-3,4,0,0,0,6.16,40,N
2018-Jul-3,5,0,0,0,5.6,69,N
2018-Jul-3,6,7.4,8,2.3,5.4,13,N
2018-Jul-3,7,0,0,0,6.12,53,N
2018-Jul-3,8,8,1,6,8.25,12,N
2018-Jul-3,9,0,0,0,8.3,2,N
2018-Jul-3,10,5.88,4,1.8,0,4,N
2018-Jul-10,1,0,0,0,6.71,52,N
2018-Jul-10,2,0,0,0,6.15,8,Y
2018-Jul-10,3,0,0,0,4.68,5,N
2018-Jul-10,4,3.5,1,1,6.33,55,N
2018-Jul-10,5,3.25,2,5,6.11,20,N
2018-Jul-10,6,7.9,1,5,5.1,6,N
2018-Jul-10,7,0,0,0,5.8,36,N
2018-Jul-10,8,0,0,0,7.71,7,N
2018-Jul-10,9,0,0,0,7.6,3,N
2018-Jul-10,10,6.02,13,3.4,0,13,N
2018-Jul-17,1,0,0,0,6.69,29,N
2018-Jul-17,2,0,0,0,6.23,15,Y
2018-Jul-17,3,0,0,0,5.89,8,N
2018-Jul-17,4,0,0,0,6.61,25,N
2018-Jul-17,5,0,0,0,5.96,22,N
2018-Jul-17,6,8,3,4,4,4,N
2018-Jul-17,7,0,0,0,3,1,N
2018-Jul-17,8,0,0,0,0,0,N
2018-Jul-17,9,0,0,0,0,0,N
2018-Jul-17,10,6.67,3,4.7,0,3,N
2018-Jul-19,1,0,0,0,6.58,22,N
2018-Jul-19,2,5,1,6,3.87,4,Y
2018-Jul-19,3,5,1,6,7.05,9,N
2018-Jul-19,4,0,0,0,6.37,40,N
2018-Jul-19,5,0,0,0,5.98,5,N
2018-Jul-19,6,6.4,4,3.3,3.13,48,N
2018-Jul-19,7,0,0,0,6.11,30,N
2018-Jul-19,8,0,0,0,9.5,2,N
2018-Jul-19,9,0,0,0,6.25,2,N
2018-Jul-19,10,4.88,6,2.5,0,6,N
